Name,E155-1999_d2
Comment,Taken from the text in page 5
Reference,hep-ex/9901006
Process type,D2
Number of points,2
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,
E155-1999_d2.0,100,73.668644,2.23606797749979,1.7360679774997898,2.73606797749979,0.005,0.008,1.0
E155-1999_d2.1,102,73.668644,2.23606797749979,1.7360679774997898,2.73606797749979,0.008,0.005,1.0
